tileID,lon,lat
T01CCV,178.4323118931,-72.5361076467
T01CDH,177.3564407645,-83.3026329741
T01CDJ,177.8740933775,-82.4101929564
T01CDK,-178.1841886791,-81.5398304968
T01CDL,-178.2159342085,-80.6440257547
T01CDM,-178.2418233148,-79.748140066
T01CDN,-178.26332287,-78.8527156627
T01CDP,-178.2814777813,-77.9566798047
T01CDQ,-178.2969998145,-77.0605704785
T01CDR,-178.3104122046,-76.1649247328
T01CDS,-178.3221279356,-75.2686660241
T01CDT,-178.3324413788,-74.372330065
T01CDU,-178.341582572,-73.4764523861
T01CDV,-178.3497477832,-72.5802452963
T01CEH,-172.460247902,-83.3106796856
T01CEJ,-173.0260837193,-82.4184402864
T01CEK,-173.4661440367,-81.5259619125
T01CEL,-173.8183175577,-80.6323681605
T01CEM,-174.1062381102,-79.7383239504
T01CEN,-174.3457869641,-78.844454631
T01CEP,-174.5483591448,-77.9497495276
T01CEQ,-174.7217481484,-77.0547899236
T01CER,-174.8717056568,-76.16014562
T01CES,-175.0027888858,-75.2647667921
T01CET,-175.1182514394,-74.3692084014
T01CEU,-175.2206411953,-73.4740213142
T01CEV,-175.3121373541,-72.5781409795
T01CFV,-172.326942171,-72.5320781393
T01DCA,178.5809410195,-71.640656141
T01DCB,178.7151543542,-70.7455770667
T01DCC,178.8370534,-69.8498029002
T01DCD,178.9481601674,-68.9538763552
T01DCE,179.0497571273,-68.0583392921
T01DCF,179.1430934366,-67.1621199216
T01DCG,179.229060679,-66.2657582159
T01DCH,179.3084274824,-65.3697938314
T01DCJ,179.3819873919,-64.473152465
T01DDA,-178.3208128332,-71.6841099242
T01DDB,-178.2598002504,-70.78837872
T01DDC,-178.2044205445,-69.8919792404
T01DDD,-178.1539714892,-68.9954509851
T01DDE,-178.1078625393,-68.0993329997
T01DDF,-178.065520465,-67.2025500363
T01DDG,-178.0265359091,-66.3056400006
T01DDH,-177.9905564485,-65.4091407401
T01DDJ,-177.9572192912,-64.511975439
T01DEA,-175.3943205256,-71.6821122246
T01DEB,-175.4684803611,-70.7864782748
T01DEC,-175.535794952,-69.8901680109
T01DED,-175.5971174194,-68.9937218798
T01DEE,-175.6531652527,-68.0976797312
T01DEF,-175.7046349834,-67.2009671265
T01DEG,-175.7520240129,-66.304122537
T01DEH,-175.7957605827,-65.4076843005
T01DEJ,-175.8362855771,-64.5105761283
T01DFA,-172.5496692429,-71.6384115798
T01DFB,-172.7510724541,-70.7449294328
T01DFC,-172.9342283384,-69.8505906299
T01DFD,-173.1013625654,-68.9559571515
T01DFE,-173.2543547489,-68.0615870908
T01DFF,-173.3950458646,-67.1664242512
T01DFG,-173.5247471697,-66.2710198877
T01DFH,-173.6445911808,-65.3759234049
T01DFJ,-173.7557537194,-64.4800703249
T01ECK,-179.3940668703,-63.5978697451
T01ECL,-179.3674222246,-62.7007212848
T01ECM,-179.3425050543,-61.8029395437
T01ECN,-179.3191742086,-60.90505921079999
T01ECP,-179.2973032807,-60.0076154596
T01ECQ,-179.2767428713,-59.1095276218
T01ECR,-179.2573970358,-58.2113312602
T01ECS,-179.2391787635,-57.3135624056
T01ECT,-179.2219789003,-56.4151406242
T01EDK,-177.9262713435,-63.6146813733
T01EDL,-177.8974905714,-62.7177959675
T01EDM,-177.8706347055,-61.8202414522
T01EDN,-177.8455398744,-60.9225549788
T01EDP,-177.8220600584,-60.02527396719999
T01EDQ,-177.8000263259,-59.12732002280001
T01EDR,-177.7793285726,-58.2292304613
T01EDS,-177.7598673788,-57.3315429416
T01EDT,-177.7415207021,-56.4331786307
T01EEK,-175.8739065594,-63.6133356518
T01EEL,-175.9088933581,-62.7165006095
T01EEM,-175.9415404179,-61.81899359280001
T01EEN,-175.9720468941,-60.9213519865
T01EEP,-176.0005902511,-60.0241134188
T01EEQ,-176.0273758147,-59.12619975310001
T01EER,-176.0525374049,-58.2281484629
T01EES,-176.0761958571,-57.33049735
T01EET,-176.0984995139,-56.4321677722
T01EFK,-173.8590519628,-63.58400628609999
T01EFL,-173.9552046344,-62.6882760793
T01EFM,-174.0450025046,-61.7918103498
T01EFN,-174.128977939,-60.8951517117
T01EFP,-174.207606302,-59.9988424659
T01EFQ,-174.2814420927,-59.1018102072
T01EFR,-174.3508447569,-58.2045959403
T01EFS,-174.4161394318,-57.3077406603
T01EFT,-174.4777285358,-56.41016995319999
T01FBA,179.202558478,-53.6812731177
T01FBB,179.2509522219,-52.7831723943
T01FBC,179.2967985297,-51.8854688977
T01FBD,179.3403245761,-50.98708472
T01FBE,179.3816586554,-50.08855847230001
T01FBF,179.4209203907,-49.1904291649
T01FBG,179.4582870088,-48.2916185519
T01FCA,-179.1758207472,-53.71974976
T01FCB,-179.1620296689,-52.8213983636
T01FCC,-179.1189682082,-51.92342010050001
T01FCD,-179.0774416675,-51.0247378285
T01FCE,-179.0380014581,-50.1258913194
T01FCF,-179.0005342689,-49.2274207154
T01FCG,-178.964871723,-48.32824820959999
T01FCU,-179.2057303632,-55.5166022686
T01FCV,-179.1903716397,-54.6184841559
T01FDA,-177.6924105229,-53.7377858777
T01FDB,-177.6777722169,-52.8388589679
T01FDC,-177.6639076139,-51.9403284618
T01FDD,-177.650747466,-51.0411149442
T01FDE,-177.6382525127,-50.1417570569
T01FDF,-177.6263861804,-49.2427938913
T01FDG,-177.6150945469,-48.3431458223
T01FDU,-177.7242122925,-55.53467518509999
T01FDV,-177.7078725002,-54.6365706538
T01FEA,-176.1582021211,-53.7368702817
T01FEB,-176.1759978356,-52.8379725193
T01FEC,-176.1928530108,-51.93946999229999
T01FED,-176.2088518227,-51.0402833996
T01FEE,-176.2240419933,-50.14095143909999
T01FEF,-176.2384679794,-49.2420132546
T01FEG,-176.2521953288,-48.3423893121
T01FEU,-176.1195410527,-55.5336974958
T01FEV,-176.1394051304,-54.6356246702
T01FFA,-174.6427483025,-53.7169519238
T01FFB,-174.6919797471,-52.8186898594
T01FFC,-174.7386272541,-51.92079730610001
T01FFD,-174.7829207295,-51.0221974757
T01FFE,-174.8249896183,-50.1234303162
T01FFF,-174.8649546561,-49.22503613389999
T01FFG,-174.9029953335,-48.32593740470001
T01FFU,-174.5358619793,-55.51242403399999
T01FFV,-174.5907683912,-54.61504329
T01FGA,-173.1309494327,-53.67794017030001
T01FGB,-173.211406347,-52.78092317779999
T01FGC,-173.2876547624,-51.88422523
T01FGD,-173.360068024,-50.9867744655
T01FGE,-173.4288556278,-50.08911328610001
T01FGF,-173.4942131098,-49.1917842796
T01FGG,-173.5564323604,-48.29371386279999
T01GBH,179.4938533718,-47.3926656977
T01GBJ,179.5277086918,-46.4941100878
T01GBK,179.5599936379,-45.5948732032
T01GBL,179.5907793875,-44.6954946204
T01GBM,179.6201334272,-43.7965143504
T01GBN,179.6481690538,-42.896853649
T01GBP,-179.6400164572,-42.0135597408
T01GBQ,-179.62456739,-41.1136769846
T01GBR,-179.6097917302,-40.2131270985
T01GCH,-178.9309239608,-47.4289138511
T01GCJ,-178.8986064494,-46.5299581015
T01GCK,-178.8677854684,-45.6303026423
T01GCL,-178.8383935735,-44.7304879221
T01GCM,-178.8103667962,-43.831054828
T01GCN,-178.7835973807,-42.9309246363
T01GCP,-178.758034071,-42.0306382759
T01GCQ,-178.7336278644,-41.1307371282
T01GCR,-178.7102908599,-40.2301421408
T01GDH,-177.6043486359,-47.4433520737
